text,label
內存無論再怎麼發展，它都會有一個容量的限制，因此你應該提防着它。你的程序如果導致內存泄漏，是程序員很可恥的事情,positive
編程中我們會遇到多少挫折？表放棄，沙漠盡頭必是綠洲,positive
如果建築工人蓋房子的方式跟程序員寫程序一樣，那第一隻飛來的啄木鳥就將毀掉人類文明,positive
如果你喜歡底層開發，千萬不要勉強自己去搞VC，找到你最真實的想法，程序員最不能忍受的就是萬精油,positive
非優秀的程序員常常把空間和時間消耗殆盡；優秀的程序員則總是有足夠的空間和時間去完成編程任務，而且配合近乎完美,positive
別心急，寫腳本確實不容易，水平是在不斷的實踐中完善和發展的,positive
用幾個小時來制定計劃，可以節省幾周的編程時間,positive
編程是一種單調的生活，因此程序員比普通人需要更多的關懷、更多的友情,positive
機會從不會“失掉”，你失掉了，自有別人會得到,positive
認識自己的無知是認識世界最可靠的方法,positive
世界上最寶貴的財富就是時間，所以不要浪費一分一秒,positive
最大的挑戰和突破在於用人，而用人最大的突破在於信任人,positive
在學習上不肯鑽研的人是不會提出問題的；在事業上缺乏突破力的人是不會有所創新的,positive
"挫折不是懲罰, 而是學習的機會",positive
學習這件事，不在乎有沒有人教你，最重要的是你自己有沒有覺悟和恆心,positive
一個好的程序員應該是那種過單行線都要往兩邊看的人,positive
抽象化是非常不同於模糊化的，抽象的目的並不是爲了模糊，而是爲了創造出能讓我們百分百精確的新語義,positive
除數學外，對本土語言的異常精通會是一個計算機程序員的最寶貴的財富,positive
C語言很容易讓你犯錯誤；C++看起來好一些，但你一用就會發現會死得更慘,positive
看看目前我們的計算機編程上這種糟糕的狀態：軟件開發很顯然仍然處於黑色藝術狀態，仍然毫無工程規範可言,positive
任何優秀的大軟件裏面都是一個優秀的小程序,positive
程序應該是寫給其他人讀的，讓機器來運行只是一個附帶功能,positive
開發得越早，程序花費你的時間越長,positive
世上只有兩種編程語言：一種總被人罵，一種從沒人用,positive
一種編程語言如果不能使你寫出優美的代碼，那它也就不能使你寫出好的程序,positive
用代碼行數來測評軟件開發進度，就像用重量來計算飛機建造進度,positive
低水平程序員總在考慮代碼，高水平程序員總在考慮數據結構及其關係,positive
沒人能一次就寫出完美的代碼,positive
任何值得做的事就值得把它做好,positive
一次只做一件事，做到最好！,positive
不被嘲笑的夢想，是不值得去實現的,positive
人因夢想而偉大，只要我有這麼一個夢想，實現這一個夢想，我就此生無憾；實現不了，我也心安了,positive
快速迭代，不斷試錯，逐步走向成功的彼岸。這是互聯網時代的王道,positive
任何成功，勤奮和努力是必要條件,positive
程序員是一種單調的生活，因此程序員比普通人需要更多的關懷，更多的友情,positive
信念和目標，必須永遠洋溢在程序員內心,positive
"大部分情況下,構建程序的過程本質上是對規範調試的過程",positive
"當你試圖解決一個你不理解的問題時,複雜化就產成了",positive
"用幾個小時來制定計劃,可以節省幾周的編程時間",positive
計算機科學領域的所有問題都可以通過其他方式間接解決,positive
"這不是一個 bug,這只是一個未列出來的特性",positive
"質量、速度、廉價,選擇其中兩個",positive
一個好的程序員是那種過單行線馬路都要往兩邊看的人,positive
"程序必須是爲了給人看而寫,給機器去執行只是附帶任務",positive
"程序有問題時不要擔心。如果所有東西都沒問題,你就失業了",positive
每一個問題都是一把鎖，你要相信世界上一定有一把鑰匙能打開這把鎖，你也能找到這把鑰匙,positive
當遇到困難時，請靜下心來慢慢研究，因爲只要用心，沒有學不會的東西,positive
人生很苦，雞湯很補,positive
許多事不要害怕做錯，即使錯了，也不必懊惱，人生就是對對錯錯，回頭看來，對錯已經無所謂了。,positive
情到濃時千萬別作，也別胡亂承諾。想想你有多少，爲了顯示與衆不同的矯情，變成了你不堪回首的曾經。,positive
別人的精彩只是因爲早有老天的安排，只不過老天卻對你有了另外安排。,positive
最深沉的感情往往是以最冷漠的方式表現出來的，最輕浮的感情往往是以最強烈的方式表現出來的。,positive
我們所咒罵的那些品德敗壞的人，其實不過是直接或間接地損害了我們的利益。,positive
忙忙碌碌地生活着真好啊，根本沒時間傷春悲秋，每天的念頭就只有，幹完今天的活就可以睡覺了。,positive
我追逐自己的夢想，別人說我幼稚可笑，但我堅持了下來。最後發現，原來還真是我以前幼稚可笑。,positive
希望不要忘了，這個世界穿透一切高牆的東西，它就在我們的內心深處，他們無法達到，也接觸不到，那就是希望。,positive
你的心有多大，你的世界就有多大，你每天只是期盼一個窩頭，你也就那樣了。,positive
我發現很多混得不好的人看得都很開。也不知道他們是因爲看得透徹而不屑於世俗的成功，還是因爲不成功而不得不看得開。,positive
踏入社會的時候，該收一收脾氣了。薑還是老的辣，不要什麼話都跟別人講，你說的是心裏話，他們聽的是笑話。,positive
沒有誰能左右你的情緒，只有你自己不放過自己，不要再熬夜了誰心裏沒有故事，只是他們學會了控制。,positive
有時候我們需要的不是一碗雞湯，而是一個巴掌！有些人出現在你的生命裏，就是爲了告訴你：你真好騙。,positive
我們覺得不快樂，是因爲我們追求的不是幸福，而是比別人幸福。,positive
愛笑的女生運氣不會太差，說實話，如果一個女生運氣一直不好，我不知道她怎麼笑得出來。,positive
真正的好朋友，互損不會翻臉，出錢不會計較，地位不分高低，成功無需巴結，失敗不會離去。,positive
我眼淚流了下來，灌溉下面柔軟的小草，不知來年，會不會開一地的記憶和憂愁。,positive
樹的未來在於向上，而它的第一步努力卻是向下深深紮根。,positive
對每個人心存感激，因爲生活是人羣共同建立的。沒有他人，也不可能有我。,positive
果然上帝爲你關上一扇門的同時，還會順帶夾一下你的腦門！,positive
你我之間那麼近，可爲什麼我卻看不到你的真心。,positive
沒有人能回到過去重新開始，但是任何人都能開始新的一天並有一個新的結局。,positive
任何事情只要你說出來都能夠原諒，但別扯謊。,positive
就讓我忙的累倒連哭的時間都沒有最好。,positive
冷靜地分析過去的錯誤，試圖從中受益，然後忘記這是使過去成爲建設性的唯一方法。,positive
無論處境多麼艱難，真正愛你的人都不會對你放手。,positive
爲了未來美一點，現在必須苦一點。,positive
人必須有夢想：不管什麼時候，你一定要有夢想，夢想是什麼並不重要，重要的是爲了夢想而腳踏實地努力和奮鬥。,positive
到了一定年齡，便要學會寡言，成熟不是心變老，而是，當眼淚在眼睛裏打轉時卻還保持微笑。,positive
不知道你現在怎麼樣，還是祝你一切安好。,positive
當我傷心哭泣的時候你會在乎我眼角的淚嗎？,positive
當一團體與你完全不在一個頻率上時，就算你說的每一個字都有道理，他也聽不出來。而且你說得越有道理，他就越覺得你很煩。,positive
笑僅在於笑而已，但若必須以一種語言詮釋真理或意義，一切原來只是姿態,positive
我們所要做的事，應該一想到就做。因爲人的想法是會變化的，有多少意外，就會有多少猶豫，多少遲延。,positive
寂寞的人總是會專心的記住他生擲中出現過的每個人，因而我總是意猶未盡地想起你在每個星光隕落的晚上一遍一遍數我的寂寞。,positive
我總感慨別人用情太深，卻不知自己已萬丈深淵救贖不來。,positive
堅信一句話：沒有人會讓你輸，除非你不想贏。,positive
心情不好的時候，就看看窗外，世界很大風景很美。,positive
盡力爲明天做周全的考慮，謹慎地思考規劃準備，但不要憂慮。,positive
應該將注意的焦點集中在尋找方法上，而不是藉口上。,positive
放棄一個很愛你的人並不痛苦，放棄一個你很愛的人才是痛苦。,positive
沒有理想的人，就如一張白紙，尋找理想的人，就如一道彩虹。,positive
快樂之道不僅在於做自己喜歡的事，還在於做自己該做的事。,positive
踏踏實實地前行，永不抗拒生命交給我們的重負。,positive
管教孩子是必可少的，但管教只是手段，不是最終目的。,positive
努力拼搏，堅持到底，菜鳥也會變成雄鷹。,positive
用秕穀來養青年，是決不會壯大的，將來的成就，且要更渺小。,positive
不要放棄，最終你會發現一切都是值得的。,positive
正因爲我們都不完美，我們纔會彼此需要。,positive
讀書無疑者，須教有疑，有疑者卻要無疑，到這裏方是上進。,positive
窮人的苦惱在於沒有選擇，富人的苦惱在於有太多選擇。,positive
當一個人願意改變自己的時候，就會開始走向新的高峯。,positive
志不立，如無舵這舟，無銜之馬，漂盪奔逸，終亦何所底乎?,positive
行動快一點，說話輕一點，效率高一點，微笑露一點，腦筋活一點!,positive
我不能選擇怎麼生，怎麼死;但我能決定怎麼愛，怎麼活。,positive
用理想作紙，用勤奮作筆，抒寫我壯麗的青春。,positive
這個世界就這麼不完美。你想得到些什麼就不得不失去些什麼。,positive
別把我想得太好，省的我把缺點展現給你的時候，又說我變了。,positive
凡事不要說：我不會或不可能，因爲你根本還沒有去做!,positive
結果不重要，重要的是爲了結果拼搏的過程。,positive
身無半畝，心憂天下;讀書萬卷，神交古人。,positive
我想，每個人心中都有一片寧靜之地，在那裏，就想成爲自己。,positive
一粒種子，是在痛苦中，萌生出新的希望。,positive
我們要，學會主宰自己命運，做自己的主人。,positive
躁急的心，嗅不到從容嫺雅的花香；冒進的人，步步都可能踩響自布的地雷。,positive
智者順時而謀，愚者逆時而動。,positive
人生沒有白走的路，每一步都算數。彎路自有彎路存在的意義，走下去，可能才能找到真正屬於自己的路。,positive
如果我們可以改變情緒，我們就可以改變未來。,positive
因爲從未得到過生活的偏愛，纔會活得如此被動而且小心。,positive
不需要努力就能得到的東西只有一樣，那就是年齡。,positive
一花凋零荒蕪不了整個春天，一次挫折也荒廢不了整個人生。,positive
每件事情都必須有一個期限，否則，大多數人都會有多少時間就花掉多少時間。,positive
靠家裏，你可能會當上公主。靠男人，你可能會當上王妃。但靠自己，才能當上女王。,positive
不要停留在過去，不要去回憶從前，時間會咬人，你不走，會滿身傷痕。,positive
人生如路，須在荒涼中走出繁華的風景來。,positive
做最好的今天，回顧最好的昨天，迎接最美好的明天。,positive
沒有人能一路單純到底，但別忘了最初的自己。,positive
放空的心，是最好的禮物；獨走的路，是最美的風景。,positive
說好的凡事靠自己，怎麼遇到事還是期待別人幫忙呢？誰會設身處地爲你着想嗎？,positive
只有自己變優秀了，其他的事情纔會跟着好起來。,positive
只怕心老，不怕路長。活着一定要有愛，有快樂，有夢想。,positive
在你想要放棄的時候，想想當初爲什麼堅持走到了這裏。,positive
失敗並不意味你浪費了時間和生命，失敗表明你有理由重新開始。,positive
我一直以爲人是慢慢變老的，其實不是，人是一瞬間變老的。,positive
我們再也不會像以前那樣，以彼此爲不可替代；我們再也不會像以前那樣，那樣用力的愛，直到哭了出來。,positive
少爲失敗找理由，多爲成功找方法，大多數人想要改革這個世界，卻不曉得即時從小事做起。,positive
不苦不累，人生無味；不拼不搏，等於白活。,positive
我們都要鍛鍊一種本領，面對美食麪不改色，微笑着對自己說，一切盡在掌握!,positive
減肥關鍵就是餓，運動是最沒用的，最多是輔助，但你想靠運動瘦下來，不可能。,positive
我不知道你瘦下來之後好不好看，但我知道，你現在胖着的樣子，一點都不好看!,positive
團隊作戰，永遠大於個人衝鋒，一羣人減肥瘦身，纔有氛圍，也更容易堅持。,positive
想成爲胖子中的聖人嗎，想成爲胖子中的精英嗎，那麼，沒別的，兩個字：減肥。,positive
如今，夏天真的來了，你減肥成功了嗎?如果沒有成功，那隻能說明你對自己不夠狠。,positive
你在意什麼，什麼就會折磨你，比如你很肥，你還懶得改變，結果又懶又肥。,positive
存平等心，行方便事，則天下無事。懷減肥心，做減肥事，則減肥終將成功。,positive
把自己的喫的慾望降到最低點，把自己的減肥理性昇華到最高點，就是聖人。,positive
在愛情的PK中，如果肥得一塌糊塗，就會敗的一塌塗地，這是大多數胖子的結局。,positive
幻想就是用來破滅的，根本不會成爲未來。就算是夢想，在現實之前也不會是未來。,positive
人生，不要給自己留下什麼遺憾，用最真的微笑去面對世界的一切。,positive
幸福是，我知道我是誰。我知道我能做什麼。我知道自己的未來在哪裏。,positive
淚水和汗水的化學成分相似，但前者只能爲你換來同情，後者卻可以爲你贏的成功。,positive
別人一誇我，我就擔心，擔心別人誇得不夠。,positive
有些人努力了一輩子，就是從社會的四流擠入了三流。,positive
條條大路通羅馬，而有些人就住在羅馬。,positive
胖人爲什麼胖?你和他說垃圾食品致癌，他照喫。你說辣條會喫死人，他照喫。你和他談減肥，他還會怕反彈回來所以不減。,positive
你費盡力氣想明白了一些事情，但對解決它們一點兒幫助也沒有。,positive
她可以爲了愛很傻，爲了愛不顧一切，他卻擔心以後給不了這般傻的她想要的幸福。,positive
你全力做到最好，還不如別人隨便搞搞。所以，放棄吧，別再爲難自己了。,positive
我從不覺得善良是件好事，因爲你給了別人傷害你的資本，可誰不是從一個心地善良的孩子，被現實折磨成一個心機深重的瘋子。,positive
好好活下去，每天都有新打擊。,positive
人家說你年輕，像個學生一樣，並不是因爲你看起來長得小，而是因爲你穿得土。,positive
當你感覺你自己又窮又醜又無助的時候你不要絕望，至少你的判斷還是對的。,positive
創業艱難，守業更艱險。創業的心很勵志，守業的心會浮亂。成功需要堅守自己。,positive
從前車馬很慢，書信很遠，一生只夠愛一個，但能納很多妾!,positive
生活就是這樣，你想微笑着在臉上擠出一個小酒窩，看到的卻是法令紋。,positive
別掙扎孩子，要在人生的每個階段做該做的事。,positive
“善良是最低成本的投資，越長大越覺得做個善良的人不容易”,positive
再想你多一點，心就再稍微痛一些,positive
人生迷茫時，就需要靜一靜的好好想想，想後才發現你還是沒有答案,positive
沒有什麼特別的原因。只是因爲你根本就不重要。不重要到你可有可無。,positive
小情緒來來回回，只能靠自己解決,positive
當你在夢中輕觸我的臉頰，溫柔使整個宇宙爲之顫抖。於是我情願化作一粒小小的塵埃，溶入永遠不醒的夢境。,positive
明明已經錯過你，但我卻還在想念你。當我想念你的時候，但我不能再擁有你。,positive
脆弱的人才會四處遊說自己的不幸，堅強的人只會不動聲色地愈漸強大。,positive
人情之間就如同過期的支票，可以繼續擁有，但無法兌現。,positive
愛情雙方最明智的選擇是，不要把對方抓牢，而應該讓彼此在一定的距離兩端相互欣賞。,positive
美，屬於默默地創造生活美的人，唱高調、吹牛皮決不能出現美的奇蹟。,positive
對戀人的每一誓諾都要放上天平，這天平的另一端放的是忠誠和責任。,positive
沒有羽毛，多大的翅膀也不能飛翔；缺乏知識，再好的理想也是空談。,positive
對於遠方的思念、空虛感、期待，這些思想本身可以綿延不斷，比生命更長久。,positive
人和人的差別不僅僅是智商和情商，還有眼界和格局。就像下棋，比對手多看一步，你就比他厲害。放眼全局，才能掌控大局！,positive
喝茶爲靜心，做人求平淡。,positive
你愛的應該是給你自由舒坦、向上美好的感覺的人，而不是那個讓你擔心受怕、消沉愁苦的感受的人。,positive
周公恐懼流言日，王莽謙恭下士時。假使當年身便死，一生真僞有誰知？,positive
今天很糟糕？放心，放輕鬆。因爲明天會更糟。,positive
我走得很慢，但我從不撤退！,positive
真是長江後浪推前浪，前浪死在沙灘上。,positive
當一個人改變了自己，他就不再是一個普通的人了。,positive
在一流的城市拿着下流的工資，但是我依然要堅持我覺得一輩子不能這麼過了，我不甘平庸也不能平庸。,positive
好姑娘身心再需要，也要堅持最基本的底線。,positive
每天都過得昏昏沉沉，對自己的未來很擔心，一邊努力着一邊有擔心着自己的努力白費，內心不甘心平庸卻又不願沉下心努力。,positive
可以軟弱。不可以卑微。可以頹廢。不可以墮落。可以無傲骨。不可以無志氣。,positive
曾經的山盟海誓，最終化作了風輕雲淡。如今我擁有了跨遍萬水千山的能力，卻再也無法站在你的身邊。,positive
糖喫多了也會膩，有苦有甜的生話纔算是沒有缺陷。,positive
很多我們覺得平生都不會忘記的事變，就在我們記憶猶新的日子裏，被我們忘記了。,positive
分享快樂的事情，其實是一種減壓。沒完沒了曬幸福的女人，其實正說明了對幸福的不確定性，需要被羨妒來獲得自我肯定。,positive
別人總會誇大你的成就，然後便覺得依附於你天經地義。,positive
使人成熟的不是歲月，而是你的經歷。當百味嚐遍，會自然看透；看透世態，看淡世事。,positive
善於傾聽的人，纔會像一個精細的淘金匠那樣，從別人大量語言礦石中提煉出我們最需要的成分。,positive
感知幸福的能力，是需要靈魂和身體一起在場。有時候，我們是要去等一等，讓靈魂跟上來。,positive
別跟年輕人吵了，你不可能贏的。因爲等到有一天，他知道你贏了，那表示他也不年輕了。所以，你不可能吵贏真正的年輕人。,positive
一個人跨過失戀的那道坎兒，終會成爲更好的自己。所以，你需要做的，就是讓自己重新振作起來。,positive
那時都是花開似錦的年紀，而他亦是鮮明如畫的少年。只是一個莞然的微笑，一次不經意的相見，少年的城池就已是烽火連天。,positive
那些無處安放的青春，破碎的讓人心疼，我的世界，如此不堪，我推開了所有的人，唯一把你放在心上。,positive
你離開我之後我永遠不會問你到底愛沒愛過我，只要你牽了別人的手，就不再是我的英雄。,positive
曾經我以爲：孤獨是世界上只剩一個人。現在我認爲：孤獨是自己竟能成爲一個世界。,positive
所謂的人緣好，不是有多少人認識你。而是你有事情時，有多少人願意幫助你。,positive
山鷹的眼睛不怕迷霧，真理的光芒不怕籠罩。,positive
一個空瓶子，你向裏面倒水，裏面就裝着水；你向裏面倒垃圾，裏面就裝着垃圾。人是什麼？人什麼都不是，人就是一隻空瓶子，你向瓶子裏面倒什麼，你得到的就是什麼。,positive
不要總是去挑剔別人，既然你當初決定要愛那樣的他，就不要等在一起之後不斷去挑剔，在要求別人進步之前，要讓自己先進步。,positive
人生應當這樣過：用前半生的時間去得到一些東西，再用後半生的時間一件件失去。一定要留一些時間給失去。,positive
希望你能乘上月亮船，渡過緊張星期一，走過愉快星期二，流向星期三，奔向快樂星期四，飄過浪漫星期五，穿越順心星期六，遊弋在幸福星期天。早安~,positive
心境簡單了，就有心思經營生活；生活簡單了，就有時間享受人生。活得簡單不難，只需懂得爲自己而活，爲美好而生，爲幸福而做。多一分快意，少一分憂傷；多一分真實，少一分虛僞；多一分悠閒，少一分忙亂。,positive
人生在世，短暫不過百年。把每一天過好是最大的幸福，生活不能等待別人來安排，要自已去爭取和奮鬥。,positive
沉默容易使人跟朋友疏遠。熱烈的訴說與自由則使人們互相接近。要做一個在寒天送炭，在痛苦中安慰的人。,positive
現在有的男人找情人不是一個兩個的，是普遍現象，這是個社會問題。樓主要盡力勸導你的朋友，要她寬心。,positive
"人生怎麼活？一炷心香靜靜參，心地運用間。有人""相看兩不厭，唯有敬亭山""，就有人""已恨碧山相阻隔，碧山還被暮雲遮""，心懷山水的人看過去，青山多情看不足。",positive
對現在的工作非常不滿意但是沒有跳槽之前還是得繼續最多再堅持一個月左右夜班就不用上了，但是還是想換平臺，其實挺想努力一下爭取升職有機會之前先把自己的本職工作做好的熬過去就好了。,positive
上線隱身，只是爲了不讓你發現我在等你。,positive
一切從零開始，最終還要回歸到零。世界上，人生沒有固定的模式，誰如果爲了某種目的用某種模式來框定自己，他遲早要留下笑柄。永不卸裝的演員，始終端着架子的領導，轉身之後，人們多蚩之以鼻。,positive
真希望能成爲自己生命純粹的讀者，用激情和豁達去彰顯飛揚跋扈的力量，讓生命的笑靨掩蓋心情的陰霾，以純淨的心境去獨享破繭成蝶的快樂，生命的底蘊始終流動着對世界最純粹的良知與渴望。,positive
你以爲放手可以成全我的幸福，可我最大的幸福就是能和你手牽手。,positive
要想害誰，就勸誰把孩子送到美國讀小學，讀中學。,positive
想要無可替代，就必須與衆不同。,positive
只要我一直笑，就沒人知道我難過。,positive
勇敢做自己，永遠都不遲，有話就要說出來，有不滿就要罵出來，有情緒就要發泄，有愛就要講，我們的青春很快就過去，不要整天怕這怕那。,positive
人生一世，草木一秋。世間就是這樣，誰也逃不過兩樣東西，一是因果，二是無常。,positive
我們應該謙虛，因爲你我都做不到。我們都只是過客，一個世紀後都完全被遺忘了。生命太短了，不能繼續談論你的小成就，讓人厭煩，讓我們鼓勵別人多說些。,positive
就算生活中有太多的失望，也希望你能試着接受，並且學着不爲難自己，每天給自己一個微笑，試着發現生活中的美好。,positive
時間可以治療一切傷口，卻無法刪除已經書寫的記憶。回憶，帶着幾絲甜蜜，幾絲酸楚，往往趁着七月的海風偷襲日漸安定的生活。不知道，曾經的約定是否還值得再遵守？更不知道，苦苦地守候是否有結果？風兒總在耳邊輕輕地吹醒回憶，那首屬於我們的歌謠，卻不知道已經消失在何方？,positive
人是這樣，動物也如此。世界上最長壽的動物叫烏龜，他們一輩子幾乎不怎麼動，就趴在那裏，結果能活一千年。他們懶的走，但和勤勞好動的兔子賽跑，誰贏了？牛最勤勞，結果人們給它喫草，卻還要擠它的奶。,positive
有時候選擇了就沒必要去後悔了，學會去適應，學會去愛上自己的選擇，相信自己一定能行的！,positive
選擇比努力重要，定位比財富重要，智慧比喫苦重要，方向比速度重要，學習比學歷重要，機遇比關係重要，要什麼比做什麼更重要！,positive
街上行人熙熙攘攘，遠處有一個小男孩在奮力奔跑，或許我們都是一樣，越走越遠，都不記得以前的模樣。,positive
就算全世界都否定你，你也要相信你自己，不要去想別人的看法，別人的話不過是陽光裏的塵埃，下一秒就被風吹走。早安，正在奮鬥的你！,positive
好像一生有很多做不完的事，總是在快要失去時才用力追逐，追着追着，卻放棄了，不是因爲不能，而是因爲不想。但這不想夾着多少不甘和後悔，旁人只知道你錯了，卻也不知道你的煎熬。時間的流逝告訴我們，不是不必追，而是在一開始，你就要開始前進。,positive
一生三舍：舍的氣度，舍的智慧，舍的境界。三個自己：相信自己，發展自己，成就自己。,positive
一點點體貼，一點點爲他人着想，會讓一切都不一樣。,positive
有時候，與其多心，不如少根筋。沒心沒肺，那樣才能活着不累。,positive
"兩人在一起久了，就象左手和右手，即使不再相愛也會選擇相守，由於拋卻這麼多年的年光必要很大的勇氣。大概生射中會出現你愛的人，但那終歸是過客，你仍是會牽着你的左手或者右手不息走下去，幸福真的和愛情無光。""執子之手，與子偕老""——當初是誓言，後來是責任，再後來是習慣。",positive
柴火煲湯煮飯，最費工夫，也最見真情，其中火候掌控，柴火添增，工夫長短，只要做的人才明瞭其中的困難漫長。,positive
友情，愛情。其實感情就是留得住就留，留不住就放手。又何必爲難了別人，還勉強了自己。有的時候，你必須要去明白，人活一世，有些人能留在你的心裏，但不能留在你生活裏。,positive
對於金錢，不是說你要成爲它的主人，而是要做到與之和諧、平等，因爲它反映的是你自己，所以對它要多一分寬容。,positive
大家都很愛記錄，什麼事都會帶個小本子做記錄。以前在我高中的時候不是身邊所有人都有這個習慣的，到了大學發現身邊的人百分之九十都有這個習慣。,positive
今生，註定我的柔情只能爲你一人傾注，註定我的多情只能爲你一人淪陷，註定你是我最深的牽掛與依戀，是我不滅的希望與力量，只要有你，每一個相愛的日子都寫滿了幸福與甜蜜。,positive
如果一個人因爲一點小事就跟你發脾氣，那麼說明他是很在乎你的，但是如果在你承認錯誤以後，他還是不搭理你，奉勸你，別理他了，如果他愛你，他會主動理你的，如果不愛你，就是以此爲藉口對你撒手了。,positive
即使是犯了一些錯誤，那也要比什麼事也不做強。每一次的成功都是要經歷過失敗的洗禮，每一次的失敗那都是會去送你走上成功的殿堂。到了最後，令你感到悔恨不已的不是你做過的事，而是那些你從都未做過的事。,positive
一個人明明可以很開心，你卻非要學別人談戀愛，現在好了吧，人家對你愛搭不理的，你還天天多愁善感，鬱鬱寡歡，患得患失。,positive
直到突然有一天西西發了一個微博：今天開始我要努力了。附帶着BEC考試必備書籍的全套照片。,positive
她被分配到廚房去清洗酒杯，那些透亮細緻的高腳玻璃杯，一隻只薄如蟬翼，只要力道稍稍重一點，便會分崩離析，化成一堆晶亮的碎片。,positive
我們都曾許下過諾言，也曾聽過別人爲自己許下的諾言。但，好多諾言，在時光的風中，淡了，散了，忘記了。到最後發現，其實，更多的諾言，不是用來兌現的，而是用來忘記的。,positive
現在放不下沒關係，大大方方的承認，坦坦蕩蕩的接受，因爲你要知道，你總有一天能放下，所以在這之前帶着什麼一路前行，也不是不行。只是你一定要清楚的知道自己要走什麼樣的路，成爲什麼樣的人。,positive
真正的成功不是擁有，而是給予。早安，我的朋友們！,positive
戀愛就是一個回身的間隔，看起來很靠近，卻又遙不行及。,positive
深情，不是長久裏逗留的，而是持久中不會走的！,positive
"人和人之間都很喜歡玩一個長期不衰的遊戲，叫""你一當真你就輸了""。",positive
本身永遠都是本身的主角，不要總在別人的戲劇裏充當着副角。,positive
服務員，給我一杯奶茶，多放點茶葉，少放點奶。,positive
別光顧着努力，你的努力毫無價值。,positive
上帝肯定會原諒我的，因爲那是他的職業。,positive
努力不一定成功，但不努力真的很輕鬆。,positive
大部分人一輩子只做三件事：自欺欺人被人欺!,positive
幸福不是房子有多大，而是房裏的笑聲有多甜。,positive
轉角一般不會遇到愛，只會遇到乞丐。,positive
你愛的人光芒萬丈，而你怎能劣氣滿身?,positive
當信用消失的時候，肉體就沒有生命。,positive
很多東西不是努力就有用，但不努力會很爽啊。,positive
你有一秒點穴，我耗一生解穴。,positive
